Temperature_LivingRoom,Humidity_LivingRoom,Temperature_Kitchen,Humidity_Kitchen,Temperature_Bedroom,Humidity_Bedroom,Outdoor_Temperature,Outdoor_Humidity,Windspeed,Light_Intensity,Energy_Consumption,Timestamp
37.45,95.07,73.2,59.87,15.6,15.6,5.81,86.62,60.11,70.81,284.82,2004-01-01 00:00:00
2.06,96.99,83.24,21.23,18.18,18.34,30.42,52.48,43.19,29.12,268.08,2004-01-01 01:00:00
61.19,13.95,29.21,36.64,45.61,78.52,19.97,51.42,59.24,4.65,247.37,2004-01-01 02:00:00
60.75,17.05,6.51,94.89,96.56,80.84,30.46,9.77,68.42,44.02,345.9,2004-01-01 03:00:00
12.2,49.52,3.44,90.93,25.88,66.25,31.17,52.01,54.67,18.49,271.47,2004-01-01 04:00:00
96.96,77.51,93.95,89.48,59.79,92.19,8.85,19.6,4.52,32.53,386.0,2004-01-01 05:00:00
38.87,27.13,82.87,35.68,28.09,54.27,14.09,80.22,7.46,98.69,274.27,2004-01-01 06:00:00
77.22,19.87,0.55,81.55,70.69,72.9,77.13,7.4,35.85,11.59,324.31,2004-01-01 07:00:00
86.31,62.33,33.09,6.36,31.1,32.52,72.96,63.76,88.72,47.22,279.43,2004-01-01 08:00:00
11.96,71.32,76.08,56.13,77.1,49.38,52.27,42.75,2.54,10.79,336.44,2004-01-01 09:00:00
3.14,63.64,31.44,50.86,90.76,24.93,41.04,75.56,22.88,7.7,275.23,2004-01-01 10:00:00
28.98,16.12,92.97,80.81,63.34,87.15,80.37,18.66,89.26,53.93,452.4,2004-01-01 11:00:00
80.74,89.61,31.8,11.01,22.79,42.71,81.8,86.07,0.7,51.07,298.81,2004-01-01 12:00:00
41.74,22.21,11.99,33.76,94.29,32.32,51.88,70.3,36.36,97.18,314.34,2004-01-01 13:00:00
96.24,25.18,49.72,30.09,28.48,3.69,60.96,50.27,5.15,27.86,206.7,2004-01-01 14:00:00
90.83,23.96,14.49,48.95,98.57,24.21,67.21,76.16,23.76,72.82,319.31,2004-01-01 15:00:00
36.78,63.23,63.35,53.58,9.03,83.53,32.08,18.65,4.08,59.09,290.25,2004-01-01 16:00:00
67.76,1.66,51.21,22.65,64.52,17.44,69.09,38.67,93.67,13.75,261.81,2004-01-01 17:00:00
34.11,11.35,92.47,87.73,25.79,66.0,81.72,55.52,52.97,24.19,404.76,2004-01-01 18:00:00
9.31,89.72,90.04,63.31,33.9,34.92,72.6,89.71,88.71,77.99,420.66,2004-01-01 19:00:00
64.2,8.41,16.16,89.86,60.64,0.92,10.15,66.35,0.51,16.08,184.26,2004-01-01 20:00:00
54.87,69.19,65.2,22.43,71.22,23.72,32.54,74.65,64.96,84.92,337.6,2004-01-01 21:00:00
65.76,56.83,9.37,36.77,26.52,24.4,97.3,39.31,89.2,63.11,304.32,2004-01-01 22:00:00
79.48,50.26,57.69,49.25,19.52,72.25,28.08,2.43,64.55,17.71,278.84,2004-01-01 23:00:00
94.05,95.39,91.49,37.02,1.55,92.83,42.82,96.67,96.36,85.3,410.67,2004-01-02 00:00:00
29.44,38.51,85.11,31.69,16.95,55.68,93.62,69.6,57.01,9.72,340.44,2004-01-02 01:00:00
61.5,99.01,14.01,51.83,87.74,74.08,69.7,70.25,35.95,29.36,380.61,2004-01-02 02:00:00
80.94,81.01,86.71,91.32,51.13,50.15,79.83,65.0,70.2,79.58,469.16,2004-01-02 03:00:00
89.0,33.8,37.56,9.4,57.83,3.59,46.56,54.26,28.65,59.08,242.84,2004-01-02 04:00:00
3.05,3.73,82.26,36.02,12.71,52.22,77.0,21.58,62.29,8.53,297.42,2004-01-02 05:00:00
5.17,53.14,54.06,63.74,72.61,97.59,51.63,32.3,79.52,27.08,393.35,2004-01-02 06:00:00
43.9,7.85,2.54,96.26,83.6,69.6,40.9,17.33,15.64,25.02,264.5,2004-01-02 07:00:00
54.92,71.46,66.02,27.99,95.49,73.79,55.44,61.17,41.96,24.77,389.03,2004-01-02 08:00:00
35.6,75.78,1.44,11.61,4.6,4.07,85.55,70.37,47.42,9.78,203.74,2004-01-02 09:00:00
49.16,47.35,17.32,43.39,39.85,61.59,63.51,4.53,37.46,62.59,277.54,2004-01-02 10:00:00
50.31,85.65,65.87,16.29,7.06,64.24,2.65,58.58,94.02,57.55,292.7,2004-01-02 11:00:00
38.82,64.33,45.83,54.56,94.15,38.61,96.12,90.54,19.58,6.94,383.6,2004-01-02 12:00:00
10.08,1.82,9.44,68.3,7.12,31.9,84.49,2.33,81.45,28.19,245.9,2004-01-02 13:00:00
11.82,69.67,62.89,87.75,73.51,80.35,28.2,17.74,75.06,80.68,407.39,2004-01-02 14:00:00
99.05,41.26,37.2,77.64,34.08,93.08,85.84,42.9,75.09,75.45,412.16,2004-01-02 15:00:00
10.31,90.26,50.53,82.65,32.0,89.55,38.92,1.08,90.54,9.13,354.55,2004-01-02 16:00:00
31.93,95.01,95.06,57.34,63.18,44.84,29.32,32.87,67.25,75.24,381.63,2004-01-02 17:00:00
79.16,78.96,9.12,49.44,5.76,54.95,44.15,88.77,35.09,11.71,266.07,2004-01-02 18:00:00
14.3,76.15,61.82,10.11,8.41,70.1,7.28,82.19,70.62,8.13,250.93,2004-01-02 19:00:00
8.48,98.66,37.43,37.06,81.28,94.72,98.6,75.34,37.63,8.35,415.29,2004-01-02 20:00:00
77.71,55.84,42.42,90.64,11.12,49.26,1.14,46.87,5.63,11.88,232.85,2004-01-02 21:00:00
11.75,64.92,74.6,58.34,96.22,37.49,28.57,86.86,22.36,96.32,388.11,2004-01-02 22:00:00
1.22,96.99,4.32,89.11,52.77,99.3,7.38,55.39,96.93,52.31,393.85,2004-01-02 23:00:00
62.94,69.57,45.45,62.76,58.43,90.12,4.54,28.1,95.04,89.03,399.53,2004-01-03 00:00:00
45.57,62.01,27.74,18.81,46.37,35.34,58.37,7.77,97.44,98.62,324.01,2004-01-03 01:00:00
69.82,53.61,30.95,81.38,68.47,16.26,91.09,82.25,94.98,72.57,411.47,2004-01-03 02:00:00
61.34,41.82,93.27,86.61,4.52,2.64,37.65,81.06,98.73,15.04,303.45,2004-01-03 03:00:00
59.41,38.09,96.99,84.21,83.83,46.87,41.48,27.34,5.64,86.47,375.22,2004-01-03 04:00:00
81.29,99.97,99.66,55.54,76.9,94.48,84.96,24.73,45.05,12.92,489.26,2004-01-03 05:00:00
95.41,60.62,22.86,67.17,61.81,35.82,11.36,67.16,52.03,77.23,305.94,2004-01-03 06:00:00
52.02,85.22,55.19,56.09,87.67,40.35,13.4,2.88,75.51,62.03,351.28,2004-01-03 07:00:00
70.41,21.3,13.64,1.45,35.06,58.99,39.22,43.75,90.42,34.83,235.74,2004-01-03 08:00:00
51.4,78.37,39.65,62.21,86.24,94.95,14.71,92.66,49.21,25.82,389.28,2004-01-03 09:00:00
45.91,98.0,49.26,32.88,63.34,24.01,7.59,12.89,12.8,15.19,230.39,2004-01-03 10:00:00
13.88,64.09,18.19,34.57,89.68,47.4,66.76,17.23,19.23,4.09,279.51,2004-01-03 11:00:00
16.89,27.86,17.7,8.87,12.06,46.08,20.63,36.43,50.34,69.04,194.28,2004-01-03 12:00:00
3.93,79.94,62.79,8.18,87.36,92.09,6.11,27.69,80.62,74.83,384.62,2004-01-03 13:00:00
18.45,20.93,37.05,48.45,61.83,36.89,46.25,74.75,3.67,25.24,253.98,2004-01-03 14:00:00
71.33,89.52,51.17,53.21,10.72,44.74,53.26,24.25,26.92,37.73,284.91,2004-01-03 15:00:00
2.01,32.21,21.14,32.75,11.98,89.05,59.36,67.91,78.92,49.84,291.28,2004-01-03 16:00:00
8.69,53.71,58.68,74.54,43.17,12.76,28.38,36.31,64.59,57.08,294.76,2004-01-03 17:00:00
35.61,98.65,60.58,23.72,10.18,15.29,24.6,16.07,18.66,28.51,210.89,2004-01-03 18:00:00
17.34,89.68,8.02,52.45,41.04,98.24,11.2,39.79,96.95,86.55,355.76,2004-01-03 19:00:00
81.71,25.79,17.09,66.86,92.94,55.68,57.16,28.0,76.95,18.7,331.54,2004-01-03 20:00:00
32.37,42.54,50.76,24.24,11.48,61.06,28.86,58.12,15.44,48.11,236.03,2004-01-03 21:00:00
53.26,5.18,33.66,13.44,6.34,99.0,32.24,80.99,25.46,68.15,260.14,2004-01-03 22:00:00
76.02,59.56,47.16,41.18,34.89,92.95,83.06,96.5,12.43,73.09,399.75,2004-01-03 23:00:00
93.83,18.12,6.65,74.11,57.45,84.18,13.98,79.53,20.16,16.37,274.35,2004-01-04 00:00:00
16.43,81.46,66.52,52.31,35.88,87.72,39.24,81.66,43.91,37.69,366.64,2004-01-04 01:00:00
46.27,30.14,74.76,50.27,23.22,89.96,38.39,54.36,90.65,62.42,347.85,2004-01-04 02:00:00
11.69,93.98,62.77,33.49,13.93,79.4,62.01,53.35,89.39,78.86,398.56,2004-01-04 03:00:00
15.17,31.17,24.85,74.39,3.35,56.99,76.25,87.68,34.21,82.13,326.01,2004-01-04 04:00:00
11.06,84.65,12.75,39.73,79.73,14.99,22.93,72.23,72.0,64.11,278.74,2004-01-04 05:00:00
69.39,54.27,25.18,34.57,18.16,90.85,58.34,40.09,46.2,94.73,338.5,2004-01-04 06:00:00
15.34,58.62,50.59,61.15,1.81,87.21,93.21,56.51,69.67,92.25,413.08,2004-01-04 07:00:00
70.72,15.25,57.63,60.67,42.41,73.64,93.44,92.56,45.08,11.32,368.36,2004-01-04 08:00:00
98.48,83.89,12.47,92.08,86.99,51.88,59.13,39.9,5.48,33.52,344.26,2004-01-04 09:00:00
80.29,0.46,33.35,39.82,53.74,91.99,34.63,34.7,73.75,45.22,316.76,2004-01-04 10:00:00
22.46,45.24,14.09,17.64,49.84,41.89,91.48,36.24,58.06,63.23,297.29,2004-01-04 11:00:00
1.31,66.35,17.8,96.11,14.87,41.46,8.53,99.69,50.22,59.54,260.45,2004-01-04 12:00:00
